Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución
0,1969,7679,2500,100,4,0.002,91048,2501,24148.364802
1,5788,6172,2500,100,4,0.002,92204,2501,23947.289415
2,74,4899,2500,100,4,0.002,91164,2501,22297.535817
3,8349,629,2500,100,4,0.002,91856,2501,27412.240249
4,5014,3241,2500,100,4,0.002,92332,2501,27947.730096
5,5630,5752,2500,100,4,0.002,91916,2501,24682.292375
6,6662,9958,2500,100,4,0.002,92776,2501,26310.771324
7,58,1996,2500,100,4,0.002,90612,2501,23525.866097
8,2223,8399,2500,100,4,0.002,92016,2501,24801.936492
9,2300,21,2500,100,4,0.002,90508,2501,26573.804894
