Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución (ms)
0,4779,5138,500,100,4,0.002,83112,501,4597.706088
1,3685,6651,500,100,4,0.002,84340,501,3700.992933
2,566,8898,500,100,4,0.002,84420,501,3780.676276
3,704,9919,500,100,4,0.002,89044,501,4279.665624
4,9084,8076,500,100,4,0.002,82264,501,3819.35305
5,5493,6269,500,100,4,0.002,87972,501,4055.573954
6,9574,3330,500,100,4,0.002,86924,501,4067.648962
7,5153,1489,500,100,4,0.002,89608,501,4250.62108
8,622,3733,500,100,4,0.002,86544,501,4421.92427
9,277,2745,500,100,4,0.002,87368,501,4677.246131
