Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución
0,1536,805,2500,50,4,0.002,92896,2501,21782.258299
1,6574,4040,2500,50,4,0.002,91408,2501,19898.628415
2,1176,1202,2500,50,4,0.002,91492,2501,25135.945898
3,5887,8365,2500,50,4,0.002,90092,2501,26310.290404
4,2392,8727,2500,50,4,0.002,91264,2501,23841.262836
5,5641,1979,2500,50,4,0.002,92228,2501,24685.000796
6,1092,1103,2500,50,4,0.002,91476,2501,22503.04891
7,5771,5340,2500,50,4,0.002,91400,2501,23553.122708
8,6880,3899,2500,50,4,0.002,92624,2501,24413.211582
9,5537,9682,2500,50,4,0.002,93184,2501,22814.320103
