Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,1955,6751,2500,2500,128,0.002,88136,2501,20370.394344
1,2601,2788,2500,2500,128,0.002,89080,2501,21264.177707
2,3865,1385,2500,2500,128,0.002,87428,2501,23913.661047
3,6472,8623,2500,2500,128,0.002,89820,2501,23123.781182
4,1249,8247,2500,2500,128,0.002,88060,2501,19887.287041
5,9537,5230,2500,2500,128,0.002,85396,2501,20291.259244
6,8917,5599,2500,2500,128,0.002,90452,2501,24396.674195
7,2711,7655,2500,2500,128,0.002,89176,2501,23758.107853
8,5546,5003,2500,2500,128,0.002,89564,2501,23395.475098
9,5429,2664,2500,2500,128,0.002,88956,2501,24085.728879
