Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución
0,6826,468,2500,2500,16,0.002,90544,2501,23514.027176
1,6259,7354,2500,2500,16,0.002,92056,2501,24846.520328
2,9961,5947,2500,2500,16,0.002,92160,2501,24436.067811
3,4706,8236,2500,2500,16,0.002,92404,2501,26934.69039
4,9924,7972,2500,2500,16,0.002,92884,2501,25704.07513
5,3970,7332,2500,2500,16,0.002,90916,2501,22527.215222
6,9383,3723,2500,2500,16,0.002,89868,2501,23975.491229
7,20,3248,2500,2500,16,0.002,89868,2501,19971.425998
8,4374,4038,2500,2500,16,0.002,92400,2501,26070.275209
9,8513,2162,2500,2500,16,0.002,87904,2501,20332.323638
