Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución
0,7125,6654,2500,2500,16,2.0E-4,92172,2501,24830.047573
1,5541,870,2500,2500,16,2.0E-4,91452,2501,26019.758823
2,7795,7862,2500,2500,16,2.0E-4,89868,2501,24326.395858
3,1825,2629,2500,2500,16,2.0E-4,91280,2501,26974.846322
4,2368,9203,2500,2500,16,2.0E-4,90508,2501,24238.704108
5,5916,6701,2500,2500,16,2.0E-4,90788,2501,27118.301863
6,9626,4722,2500,2500,16,2.0E-4,91460,2501,26658.525355
7,364,1246,2500,2500,16,2.0E-4,91960,2501,30573.319295
8,8630,3203,2500,2500,16,2.0E-4,91648,2501,24337.329352
9,5789,7522,2500,2500,16,2.0E-4,91728,2501,25374.100031
