Numero de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecucion
0,9014,5112,2500,2500,16,2.0E-5,92268,2501,23032.140016
1,2774,5367,2500,2500,16,2.0E-5,92728,2501,24109.977476
2,5184,712,2500,2500,16,2.0E-5,92744,2501,22683.336311
3,2889,7594,2500,2500,16,2.0E-5,91764,2501,22278.85712
4,2241,5721,2500,2500,16,2.0E-5,92044,2501,22783.083363
5,178,3177,2500,2500,16,2.0E-5,91880,2501,25591.912192
6,341,6075,2500,2500,16,2.0E-5,92268,2501,27499.568848
7,5569,8514,2500,2500,16,2.0E-5,93232,2501,25539.847245
8,9341,8043,2500,2500,16,2.0E-5,92172,2501,24537.606365
9,7191,2264,2500,2500,16,2.0E-5,92664,2501,25469.1311
