Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion,Proporcion de peticiones servidas
0,216,398,64,-63324,35,211.2923,0.6166666666666667
1,6015,5690,64,-72096,33,222.6188,0.6615384615384615
2,6253,7980,64,-53924,44,304.8629,0.5905511811023622
3,661,8365,64,-72340,40,330.5285,0.6496350364963503
4,8181,7533,64,-70596,34,207.8471,0.6377952755905512
5,1409,9934,64,-39372,52,353.8455,0.578125
6,6359,9165,64,-55456,50,430.3272,0.5737704918032787
7,9855,5649,64,-90252,28,173.4493,0.7049180327868853
8,8985,7550,64,-82332,36,244.5591,0.603448275862069
9,8889,8826,64,-37384,54,475.1361,0.5303030303030303
